Replicate,File Name,Molecule List,Molecule,Molecule Formula,Precursor Mz,Precursor Adduct,Isotope Label Type,Best Retention Time,Acquired Time,Molecule Note,Max Height,Total Area
INR_1000_B,6495c_CE_pos_INR_1000B.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.75,5/1/2024 18:53,DETECTED. RT confirmed at 6.7,514,2120
INR_1000_C,6495c_CE_pos_INR_1000C.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.72,5/2/2024 2:16,DETECTED. RT confirmed at 6.7,664,3279
wakeup_01,6495c_CE_pos_wakeup_01.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.97,5/1/2024 8:41,DETECTED. RT confirmed at 5.9,0,0
cleanup_01,6495c_CE_pos_cleanup_01.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.97,5/2/2024 3:24,DETECTED. RT confirmed at 5.9,0,0
PQC_01,6495c_CE_pos_PQC_01.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,6.04,5/1/2024 13:47,DETECTED. RT confirmed at 5.9,3552,19775
PQC_02,6495c_CE_pos_PQC_02.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,6.01,5/1/2024 14:04,DETECTED. RT confirmed at 5.9,3519,19894
PQC_03,6495c_CE_pos_PQC_03.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,6.04,5/1/2024 14:21,DETECTED. RT confirmed at 5.9,3949,19979
PQC_04,6495c_CE_pos_PQC_04.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,6.03,5/1/2024 14:38,DETECTED. RT confirmed at 5.9,3741,19125
PQC_05,6495c_CE_pos_PQC_05.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,6.05,5/1/2024 16:37,DETECTED. RT confirmed at 5.9,3738,19044
PQC_06,6495c_CE_pos_PQC_06.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.98,5/1/2024 18:36,DETECTED. RT confirmed at 5.9,3266,17387
PQC_07,6495c_CE_pos_PQC_07.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.96,5/1/2024 20:35,DETECTED. RT confirmed at 5.9,3021,15773
PQC_08,6495c_CE_pos_PQC_08.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.95,5/1/2024 22:35,DETECTED. RT confirmed at 5.9,3304,14618
PQC_09,6495c_CE_pos_PQC_09.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.96,5/2/2024 0:34,DETECTED. RT confirmed at 5.9,3318,14891
PQC_10,6495c_CE_pos_PQC_10.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.95,5/2/2024 2:33,DETECTED. RT confirmed at 5.9,3031,13624
mb_A_01,6495c_CE_pos_mb_A_01.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.97,5/1/2024 13:13,DETECTED. RT confirmed at 5.9,0,0
mb_A_02,6495c_CE_pos_mb_A_02.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.97,5/2/2024 2:50,DETECTED. RT confirmed at 5.9,0,0
mb_B_01,6495c_CE_pos_mb_B_01.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.97,5/1/2024 13:30,DETECTED. RT confirmed at 5.9,0,0
mb_B_02,6495c_CE_pos_mb_B_02.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.97,5/2/2024 3:07,DETECTED. RT confirmed at 5.9,0,0
sb_00,6495c_CE_pos_sb_00.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.97,5/1/2024 8:58,DETECTED. RT confirmed at 5.9,0,0
sb_01,6495c_CE_pos_sb_01.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.97,5/1/2024 10:06,DETECTED. RT confirmed at 5.9,0,0
sb_02,6495c_CE_pos_sb_02.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.97,5/1/2024 12:56,DETECTED. RT confirmed at 5.9,0,0
WT_0_A,6495c_CE_pos_WT_0A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.96,5/2/2024 1:42,DETECTED. RT confirmed at 5.9,6966,36927
WT_0_B,6495c_CE_pos_WT_0B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,6.03,5/1/2024 16:20,DETECTED. RT confirmed at 5.9,7399,43094
WT_0_C,6495c_CE_pos_WT_0C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,6.03,5/1/2024 16:54,DETECTED. RT confirmed at 5.9,7333,42813
WT_10_A,6495c_CE_pos_WT_10A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.97,5/1/2024 22:18,DETECTED. RT confirmed at 5.9,6641,32821
WT_10_B,6495c_CE_pos_WT_10B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,6.04,5/1/2024 16:03,DETECTED. RT confirmed at 5.9,4554,20352
WT_10_C,6495c_CE_pos_WT_10C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,6.03,5/1/2024 17:45,DETECTED. RT confirmed at 5.9,4792,24393
WT_100_A,6495c_CE_pos_WT_100A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.97,5/1/2024 20:52,DETECTED. RT confirmed at 5.9,7918,37705
WT_100_B,6495c_CE_pos_WT_100B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,6.03,5/1/2024 15:29,DETECTED. RT confirmed at 5.9,4426,22327
WT_100_C,6495c_CE_pos_WT_100C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.96,5/2/2024 0:00,DETECTED. RT confirmed at 5.9,5491,26075
WT_1000_A,6495c_CE_pos_WT_1000A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.96,5/1/2024 21:26,DETECTED. RT confirmed at 5.9,6124,29264
WT_1000_B,6495c_CE_pos_WT_1000B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,6.02,5/1/2024 17:28,DETECTED. RT confirmed at 5.9,5933,30195
WT_1000_C,6495c_CE_pos_WT_1000C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.95,5/1/2024 20:18,DETECTED. RT confirmed at 5.9,5969,26861
IN_0_A,6495c_CE_pos_IN_0A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.98,5/1/2024 19:44,DETECTED. RT confirmed at 5.9,3154,17856
IN_0_B,6495c_CE_pos_IN_0B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.95,5/2/2024 1:25,DETECTED. RT confirmed at 5.9,3876,20128
IN_0_C,6495c_CE_pos_IN_0C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,6.03,5/1/2024 18:02,DETECTED. RT confirmed at 5.9,4176,22020
IN_10_A,6495c_CE_pos_IN_10A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.94,5/1/2024 23:26,DETECTED. RT confirmed at 5.9,2310,10574
IN_10_B,6495c_CE_pos_IN_10B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,6.04,5/1/2024 15:12,DETECTED. RT confirmed at 5.9,4418,20660
IN_10_C,6495c_CE_pos_IN_10C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.99,5/1/2024 19:27,DETECTED. RT confirmed at 5.9,3465,15619
IN_100_A,6495c_CE_pos_IN_100A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.95,5/2/2024 1:08,DETECTED. RT confirmed at 5.9,2768,11006
IN_100_B,6495c_CE_pos_IN_100B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.97,5/1/2024 19:10,DETECTED. RT confirmed at 5.9,1712,7170
IN_100_C,6495c_CE_pos_IN_100C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.97,5/1/2024 20:02,DETECTED. RT confirmed at 5.9,3119,14189
IN_1000_A,6495c_CE_pos_IN_1000A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.96,5/2/2024 0:51,DETECTED. RT confirmed at 5.9,2427,8540
IN_1000_B,6495c_CE_pos_IN_1000B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,6.03,5/1/2024 14:55,DETECTED. RT confirmed at 5.9,2714,12016
IN_1000_C,6495c_CE_pos_IN_1000C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.95,5/1/2024 23:09,DETECTED. RT confirmed at 5.9,2346,9692
INR_0_A,6495c_CE_pos_INR_0A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.96,5/2/2024 0:17,DETECTED. RT confirmed at 5.9,1007,7408
INR_0_B,6495c_CE_pos_INR_0B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.94,5/1/2024 23:43,DETECTED. RT confirmed at 5.9,929,5507
INR_0_C,6495c_CE_pos_INR_0C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,6.03,5/1/2024 15:46,DETECTED. RT confirmed at 5.9,1425,11273
INR_10_A,6495c_CE_pos_INR_10A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.95,5/1/2024 22:52,DETECTED. RT confirmed at 5.9,1495,6446
INR_10_B,6495c_CE_pos_INR_10B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.95,5/1/2024 22:00,DETECTED. RT confirmed at 5.9,1162,4309
INR_10_C,6495c_CE_pos_INR_10C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,6.01,5/1/2024 18:19,DETECTED. RT confirmed at 5.9,1063,3213
INR_100_A,6495c_CE_pos_INR_100A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.96,5/1/2024 21:43,DETECTED. RT confirmed at 5.9,976,4446
INR_100_B,6495c_CE_pos_INR_100B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,6.02,5/1/2024 17:11,DETECTED. RT confirmed at 5.9,1867,8732
INR_100_C,6495c_CE_pos_INR_100C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.95,5/2/2024 1:59,DETECTED. RT confirmed at 5.9,3028,14478
INR_1000_A,6495c_CE_pos_INR_1000A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.97,5/1/2024 21:09,DETECTED. RT confirmed at 5.9,1461,6560
INR_1000_B,6495c_CE_pos_INR_1000B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,6,5/1/2024 18:53,DETECTED. RT confirmed at 5.9,1389,5384
INR_1000_C,6495c_CE_pos_INR_1000C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:3) Docosatrienoic acid,C22H38O2,333.279905,[M-H],light,5.96,5/2/2024 2:16,DETECTED. RT confirmed at 5.9,1428,6508
wakeup_01,6495c_CE_pos_wakeup_01.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.05,5/1/2024 8:41,DETECTED. RT confirmed at 5.0,0,0
cleanup_01,6495c_CE_pos_cleanup_01.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.05,5/2/2024 3:24,DETECTED. RT confirmed at 5.0,0,0
PQC_01,6495c_CE_pos_PQC_01.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.03,5/1/2024 13:47,DETECTED. RT confirmed at 5.0,12972,74627
PQC_02,6495c_CE_pos_PQC_02.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.01,5/1/2024 14:04,DETECTED. RT confirmed at 5.0,12115,71127
PQC_03,6495c_CE_pos_PQC_03.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.03,5/1/2024 14:21,DETECTED. RT confirmed at 5.0,12459,69789
PQC_04,6495c_CE_pos_PQC_04.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.02,5/1/2024 14:38,DETECTED. RT confirmed at 5.0,12706,68073
PQC_05,6495c_CE_pos_PQC_05.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.01,5/1/2024 16:37,DETECTED. RT confirmed at 5.0,11369,63463
PQC_06,6495c_CE_pos_PQC_06.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.98,5/1/2024 18:36,DETECTED. RT confirmed at 5.0,10833,62291
PQC_07,6495c_CE_pos_PQC_07.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.95,5/1/2024 20:35,DETECTED. RT confirmed at 5.0,10617,60652
PQC_08,6495c_CE_pos_PQC_08.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.92,5/1/2024 22:35,DETECTED. RT confirmed at 5.0,10804,59147
PQC_09,6495c_CE_pos_PQC_09.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.93,5/2/2024 0:34,DETECTED. RT confirmed at 5.0,10166,56156
PQC_10,6495c_CE_pos_PQC_10.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.93,5/2/2024 2:33,DETECTED. RT confirmed at 5.0,10274,54027
mb_A_01,6495c_CE_pos_mb_A_01.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.06,5/1/2024 13:13,DETECTED. RT confirmed at 5.0,0,0
mb_A_02,6495c_CE_pos_mb_A_02.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.05,5/2/2024 2:50,DETECTED. RT confirmed at 5.0,0,0
mb_B_01,6495c_CE_pos_mb_B_01.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.05,5/1/2024 13:30,DETECTED. RT confirmed at 5.0,0,0
mb_B_02,6495c_CE_pos_mb_B_02.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.05,5/2/2024 3:07,DETECTED. RT confirmed at 5.0,0,0
sb_00,6495c_CE_pos_sb_00.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.05,5/1/2024 8:58,DETECTED. RT confirmed at 5.0,0,0
sb_01,6495c_CE_pos_sb_01.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.05,5/1/2024 10:06,DETECTED. RT confirmed at 5.0,0,0
sb_02,6495c_CE_pos_sb_02.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.06,5/1/2024 12:56,DETECTED. RT confirmed at 5.0,0,0
WT_0_A,6495c_CE_pos_WT_0A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.93,5/2/2024 1:42,DETECTED. RT confirmed at 5.0,22636,138290
WT_0_B,6495c_CE_pos_WT_0B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.01,5/1/2024 16:20,DETECTED. RT confirmed at 5.0,24186,145724
WT_0_C,6495c_CE_pos_WT_0C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.01,5/1/2024 16:54,DETECTED. RT confirmed at 5.0,27432,171229
WT_10_A,6495c_CE_pos_WT_10A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.93,5/1/2024 22:18,DETECTED. RT confirmed at 5.0,23517,133671
WT_10_B,6495c_CE_pos_WT_10B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.02,5/1/2024 16:03,DETECTED. RT confirmed at 5.0,11533,66195
WT_10_C,6495c_CE_pos_WT_10C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.01,5/1/2024 17:45,DETECTED. RT confirmed at 5.0,16059,89198
WT_100_A,6495c_CE_pos_WT_100A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.96,5/1/2024 20:52,DETECTED. RT confirmed at 5.0,26983,151697
WT_100_B,6495c_CE_pos_WT_100B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.01,5/1/2024 15:29,DETECTED. RT confirmed at 5.0,14365,82216
WT_100_C,6495c_CE_pos_WT_100C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.92,5/2/2024 0:00,DETECTED. RT confirmed at 5.0,20913,119647
WT_1000_A,6495c_CE_pos_WT_1000A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.93,5/1/2024 21:26,DETECTED. RT confirmed at 5.0,23974,135736
WT_1000_B,6495c_CE_pos_WT_1000B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.01,5/1/2024 17:28,DETECTED. RT confirmed at 5.0,26653,141075
WT_1000_C,6495c_CE_pos_WT_1000C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.94,5/1/2024 20:18,DETECTED. RT confirmed at 5.0,20782,119125
IN_0_A,6495c_CE_pos_IN_0A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.97,5/1/2024 19:44,DETECTED. RT confirmed at 5.0,10386,57547
IN_0_B,6495c_CE_pos_IN_0B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.94,5/2/2024 1:25,DETECTED. RT confirmed at 5.0,10401,62532
IN_0_C,6495c_CE_pos_IN_0C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.02,5/1/2024 18:02,DETECTED. RT confirmed at 5.0,11194,66822
IN_10_A,6495c_CE_pos_IN_10A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.91,5/1/2024 23:26,DETECTED. RT confirmed at 5.0,6610,37892
IN_10_B,6495c_CE_pos_IN_10B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.02,5/1/2024 15:12,DETECTED. RT confirmed at 5.0,12646,71751
IN_10_C,6495c_CE_pos_IN_10C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.95,5/1/2024 19:27,DETECTED. RT confirmed at 5.0,10262,58174
IN_100_A,6495c_CE_pos_IN_100A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.92,5/2/2024 1:08,DETECTED. RT confirmed at 5.0,7777,41640
IN_100_B,6495c_CE_pos_IN_100B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.94,5/1/2024 19:10,DETECTED. RT confirmed at 5.0,5342,27103
IN_100_C,6495c_CE_pos_IN_100C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.94,5/1/2024 20:02,DETECTED. RT confirmed at 5.0,9572,54236
IN_1000_A,6495c_CE_pos_IN_1000A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.92,5/2/2024 0:51,DETECTED. RT confirmed at 5.0,6525,34012
IN_1000_B,6495c_CE_pos_IN_1000B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.01,5/1/2024 14:55,DETECTED. RT confirmed at 5.0,7927,45347
IN_1000_C,6495c_CE_pos_IN_1000C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.92,5/1/2024 23:09,DETECTED. RT confirmed at 5.0,7098,38483
INR_0_A,6495c_CE_pos_INR_0A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.91,5/2/2024 0:17,DETECTED. RT confirmed at 5.0,3479,19395
INR_0_B,6495c_CE_pos_INR_0B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.91,5/1/2024 23:43,DETECTED. RT confirmed at 5.0,2875,18369
INR_0_C,6495c_CE_pos_INR_0C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5,5/1/2024 15:46,DETECTED. RT confirmed at 5.0,5230,32994
INR_10_A,6495c_CE_pos_INR_10A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.9,5/1/2024 22:52,DETECTED. RT confirmed at 5.0,4031,25654
INR_10_B,6495c_CE_pos_INR_10B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.93,5/1/2024 22:00,DETECTED. RT confirmed at 5.0,3416,20597
INR_10_C,6495c_CE_pos_INR_10C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.98,5/1/2024 18:19,DETECTED. RT confirmed at 5.0,3015,15900
INR_100_A,6495c_CE_pos_INR_100A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.92,5/1/2024 21:43,DETECTED. RT confirmed at 5.0,3588,19163
INR_100_B,6495c_CE_pos_INR_100B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,5.02,5/1/2024 17:11,DETECTED. RT confirmed at 5.0,4777,29803
INR_100_C,6495c_CE_pos_INR_100C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.92,5/2/2024 1:59,DETECTED. RT confirmed at 5.0,7680,50509
INR_1000_A,6495c_CE_pos_INR_1000A.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.93,5/1/2024 21:09,DETECTED. RT confirmed at 5.0,3779,23018
INR_1000_B,6495c_CE_pos_INR_1000B.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.97,5/1/2024 18:53,DETECTED. RT confirmed at 5.0,3143,18699
INR_1000_C,6495c_CE_pos_INR_1000C.d,Poly-unsaturated Fatty Acids_VeryLong,(C22:4) Docosatetraenoic acid,C22H36O2,331.264255,[M-H],light,4.92,5/2/2024 2:16,DETECTED. RT confirmed at 5.0,4294,24747
